Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
04/04/2016,4816,4816,4816,4816
05/04/2016,4776,4776,4776,4776
06/04/2016,4775,4775,4775,4775
07/04/2016,4715,4715,4715,4715
08/04/2016,4654,4654,4654,4654
11/04/2016,4645,4645,4645,4645
12/04/2016,4715.5,4715.5,4715.5,4715.5
13/04/2016,4838,4838,4838,4838
14/04/2016,4830.5,4830.5,4830.5,4830.5
15/04/2016,4813.5,4813.5,4813.5,4813.5
18/04/2016,4798,4798,4798,4798
19/04/2016,4812,4812,4812,4812
20/04/2016,4938.5,4938.5,4938.5,4938.5
21/04/2016,5025.5,5025.5,5025.5,5025.5
22/04/2016,5015.5,5015.5,5015.5,5015.5
25/04/2016,5000.5,5000.5,5000.5,5000.5
26/04/2016,4935.5,4935.5,4935.5,4935.5
27/04/2016,4932,4932,4932,4932
28/04/2016,4912.5,4912.5,4912.5,4912.5
29/04/2016,5045,5045,5045,5045
03/05/2016,4960,4960,4960,4960
04/05/2016,4892,4892,4892,4892
05/05/2016,4826,4826,4826,4826
06/05/2016,4810,4810,4810,4810
09/05/2016,4739.5,4739.5,4739.5,4739.5
10/05/2016,4710,4710,4710,4710
11/05/2016,4748,4748,4748,4748
12/05/2016,4744,4744,4744,4744
13/05/2016,4660,4660,4660,4660
16/05/2016,4640.5,4640.5,4640.5,4640.5
17/05/2016,4634,4634,4634,4634
18/05/2016,4600.5,4600.5,4600.5,4600.5
19/05/2016,4596,4596,4596,4596
20/05/2016,4630.5,4630.5,4630.5,4630.5
23/05/2016,4572,4572,4572,4572
24/05/2016,4637,4637,4637,4637
25/05/2016,4636,4636,4636,4636
26/05/2016,4705.5,4705.5,4705.5,4705.5
27/05/2016,4725.5,4725.5,4725.5,4725.5
30/05/2016,4725.5,4725.5,4725.5,4725.5
31/05/2016,4700,4700,4700,4700
01/06/2016,4601,4601,4601,4601
02/06/2016,4600,4600,4600,4600
03/06/2016,4688,4688,4688,4688
06/06/2016,4706,4706,4706,4706
07/06/2016,4589,4589,4589,4589
08/06/2016,4590.5,4590.5,4590.5,4590.5
09/06/2016,4546,4546,4546,4546
10/06/2016,4504,4504,4504,4504
13/06/2016,4515,4515,4515,4515
14/06/2016,4510.5,4510.5,4510.5,4510.5
15/06/2016,4632,4632,4632,4632
16/06/2016,4524.5,4524.5,4524.5,4524.5
17/06/2016,4521.5,4521.5,4521.5,4521.5
20/06/2016,4585,4585,4585,4585
21/06/2016,4587,4587,4587,4587
22/06/2016,4687.5,4687.5,4687.5,4687.5
23/06/2016,4747,4747,4747,4747
24/06/2016,4663,4663,4663,4663
27/06/2016,4692,4692,4692,4692
28/06/2016,4777.5,4777.5,4777.5,4777.5
29/06/2016,4780,4780,4780,4780
30/06/2016,4827,4827,4827,4827
01/07/2016,4783.5,4783.5,4783.5,4783.5
04/07/2016,4920,4920,4920,4920
05/07/2016,4840.5,4840.5,4840.5,4840.5
06/07/2016,4706,4706,4706,4706
07/07/2016,4725,4725,4725,4725
08/07/2016,4710,4710,4710,4710
11/07/2016,4746,4746,4746,4746
12/07/2016,4811.5,4811.5,4811.5,4811.5
13/07/2016,4918.5,4918.5,4918.5,4918.5
14/07/2016,4911.5,4911.5,4911.5,4911.5
15/07/2016,4945.5,4945.5,4945.5,4945.5
18/07/2016,4839,4839,4839,4839
19/07/2016,4938,4938,4938,4938
20/07/2016,4900.5,4900.5,4900.5,4900.5
21/07/2016,4953.5,4953.5,4953.5,4953.5
22/07/2016,4956,4956,4956,4956
25/07/2016,4920,4920,4920,4920
26/07/2016,4862,4862,4862,4862
27/07/2016,4869.5,4869.5,4869.5,4869.5
28/07/2016,4862,4862,4862,4862
29/07/2016,4853,4853,4853,4853
01/08/2016,4907,4907,4907,4907
02/08/2016,4885.5,4885.5,4885.5,4885.5
03/08/2016,4844.5,4844.5,4844.5,4844.5
04/08/2016,4787,4787,4787,4787
05/08/2016,4792.5,4792.5,4792.5,4792.5
08/08/2016,4796,4796,4796,4796
09/08/2016,4779,4779,4779,4779
10/08/2016,4874.5,4874.5,4874.5,4874.5
11/08/2016,4810,4810,4810,4810
12/08/2016,4746,4746,4746,4746
15/08/2016,4746,4746,4746,4746
16/08/2016,4798,4798,4798,4798
17/08/2016,4755.5,4755.5,4755.5,4755.5
18/08/2016,4802.5,4802.5,4802.5,4802.5
19/08/2016,4774,4774,4774,4774
22/08/2016,4732,4732,4732,4732
23/08/2016,4719,4719,4719,4719
24/08/2016,4658.5,4658.5,4658.5,4658.5
25/08/2016,4639.5,4639.5,4639.5,4639.5
26/08/2016,4622,4622,4622,4622
30/08/2016,4609,4609,4609,4609
31/08/2016,4602.5,4602.5,4602.5,4602.5
01/09/2016,4620,4620,4620,4620
02/09/2016,4607,4607,4607,4607
05/09/2016,4603,4603,4603,4603
06/09/2016,4623,4623,4623,4623
07/09/2016,4643,4643,4643,4643
08/09/2016,4617.5,4617.5,4617.5,4617.5
09/09/2016,4622.5,4622.5,4622.5,4622.5
12/09/2016,4573,4573,4573,4573
13/09/2016,4641.5,4641.5,4641.5,4641.5
14/09/2016,4694.5,4694.5,4694.5,4694.5
15/09/2016,4727,4727,4727,4727
16/09/2016,4733.5,4733.5,4733.5,4733.5
19/09/2016,4731.5,4731.5,4731.5,4731.5
20/09/2016,4732.5,4732.5,4732.5,4732.5
21/09/2016,4733,4733,4733,4733
22/09/2016,4815.5,4815.5,4815.5,4815.5
23/09/2016,4815,4815,4815,4815
26/09/2016,4794,4794,4794,4794
27/09/2016,4775,4775,4775,4775
28/09/2016,4807.5,4807.5,4807.5,4807.5
29/09/2016,4816.5,4816.5,4816.5,4816.5
30/09/2016,4832,4832,4832,4832
03/10/2016,4807,4807,4807,4807
04/10/2016,4790.5,4790.5,4790.5,4790.5
05/10/2016,4777.5,4777.5,4777.5,4777.5
06/10/2016,4742,4742,4742,4742
07/10/2016,4742,4742,4742,4742
10/10/2016,4786,4786,4786,4786
11/10/2016,4801.5,4801.5,4801.5,4801.5
12/10/2016,4805,4805,4805,4805
13/10/2016,4754.5,4754.5,4754.5,4754.5
14/10/2016,4672.5,4672.5,4672.5,4672.5
17/10/2016,4671.5,4671.5,4671.5,4671.5
18/10/2016,4665.5,4665.5,4665.5,4665.5
19/10/2016,4642.5,4642.5,4642.5,4642.5
20/10/2016,4633.5,4633.5,4633.5,4633.5
21/10/2016,4637,4637,4637,4637
24/10/2016,4620.5,4620.5,4620.5,4620.5
25/10/2016,4720,4720,4720,4720
26/10/2016,4717.5,4717.5,4717.5,4717.5
27/10/2016,4774,4774,4774,4774
28/10/2016,4787,4787,4787,4787
31/10/2016,4827.5,4827.5,4827.5,4827.5
01/11/2016,4862.5,4862.5,4862.5,4862.5
02/11/2016,4871,4871,4871,4871
03/11/2016,4918,4918,4918,4918
04/11/2016,4943,4943,4943,4943
07/11/2016,5032,5032,5032,5032
08/11/2016,5044,5044,5044,5044
09/11/2016,5335,5335,5335,5335
10/11/2016,5619,5619,5619,5619
11/11/2016,5900,5900,5900,5900
14/11/2016,5620,5620,5620,5620
15/11/2016,5448,5448,5448,5448
16/11/2016,5459,5459,5459,5459
17/11/2016,5426,5426,5426,5426
18/11/2016,5446,5446,5446,5446
21/11/2016,5535.5,5535.5,5535.5,5535.5
22/11/2016,5618,5618,5618,5618
23/11/2016,5564,5564,5564,5564
24/11/2016,5834.5,5834.5,5834.5,5834.5
25/11/2016,5822.5,5822.5,5822.5,5822.5
28/11/2016,5935.5,5935.5,5935.5,5935.5
29/11/2016,5778,5778,5778,5778
30/11/2016,5740,5740,5740,5740
01/12/2016,5773,5773,5773,5773
02/12/2016,5736,5736,5736,5736
05/12/2016,5851.5,5851.5,5851.5,5851.5
06/12/2016,5856,5856,5856,5856
07/12/2016,5903.5,5903.5,5903.5,5903.5
08/12/2016,5838,5838,5838,5838
09/12/2016,5824,5824,5824,5824
12/12/2016,5757,5757,5757,5757
13/12/2016,5765.5,5765.5,5765.5,5765.5
14/12/2016,5735,5735,5735,5735
15/12/2016,5682.5,5682.5,5682.5,5682.5
16/12/2016,5649,5649,5649,5649
19/12/2016,5561,5561,5561,5561
20/12/2016,5485.5,5485.5,5485.5,5485.5
21/12/2016,5498.5,5498.5,5498.5,5498.5
22/12/2016,5426,5426,5426,5426
23/12/2016,5482,5482,5482,5482
26/12/2016,5482,5482,5482,5482
28/12/2016,5486,5486,5486,5486
29/12/2016,5514,5514,5514,5514
30/12/2016,5501,5501,5501,5501
03/01/2017,5574,5574,5574,5574
04/01/2017,5500.5,5500.5,5500.5,5500.5
05/01/2017,5611,5611,5611,5611
06/01/2017,5546.5,5546.5,5546.5,5546.5
09/01/2017,5551.5,5551.5,5551.5,5551.5
10/01/2017,5642,5642,5642,5642
11/01/2017,5709.5,5709.5,5709.5,5709.5
12/01/2017,5752.5,5752.5,5752.5,5752.5
13/01/2017,5797,5797,5797,5797
16/01/2017,5857,5857,5857,5857
17/01/2017,5771.5,5771.5,5771.5,5771.5
18/01/2017,5721,5721,5721,5721
19/01/2017,5710,5710,5710,5710
20/01/2017,5706,5706,5706,5706
23/01/2017,5775,5775,5775,5775
24/01/2017,5879,5879,5879,5879
25/01/2017,5867,5867,5867,5867
26/01/2017,5890,5890,5890,5890
27/01/2017,5847,5847,5847,5847
30/01/2017,5857,5857,5857,5857
31/01/2017,5921,5921,5921,5921
01/02/2017,5931,5931,5931,5931
02/02/2017,5903,5903,5903,5903
03/02/2017,5836,5836,5836,5836
06/02/2017,5786,5786,5786,5786
07/02/2017,5802,5802,5802,5802
08/02/2017,5865,5865,5865,5865
09/02/2017,5863,5863,5863,5863
10/02/2017,5872,5872,5872,5872
13/02/2017,6111,6111,6111,6111
14/02/2017,6145,6145,6145,6145
15/02/2017,6016,6016,6016,6016
16/02/2017,6015,6015,6015,6015
17/02/2017,5939,5939,5939,5939
20/02/2017,6002,6002,6002,6002
21/02/2017,6034,6034,6034,6034
22/02/2017,5976,5976,5976,5976
23/02/2017,5991,5991,5991,5991
24/02/2017,5881,5881,5881,5881
27/02/2017,5927,5927,5927,5927
28/02/2017,5936,5936,5936,5936
01/03/2017,6040,6040,6040,6040
02/03/2017,5994,5994,5994,5994
03/03/2017,5910,5910,5910,5910
06/03/2017,5856,5856,5856,5856
07/03/2017,5807,5807,5807,5807
08/03/2017,5782,5782,5782,5782
09/03/2017,5655,5655,5655,5655
10/03/2017,5714.5,5714.5,5714.5,5714.5
13/03/2017,5794,5794,5794,5794
14/03/2017,5747,5747,5747,5747
15/03/2017,5850,5850,5850,5850
16/03/2017,5911,5911,5911,5911
17/03/2017,5889,5889,5889,5889
20/03/2017,5891,5891,5891,5891
21/03/2017,5765.5,5765.5,5765.5,5765.5
22/03/2017,5712,5712,5712,5712
23/03/2017,5790.5,5790.5,5790.5,5790.5
24/03/2017,5782.5,5782.5,5782.5,5782.5
27/03/2017,5673.5,5673.5,5673.5,5673.5
28/03/2017,5774.5,5774.5,5774.5,5774.5
29/03/2017,5847,5847,5847,5847
30/03/2017,5860,5860,5860,5860
31/03/2017,5849,5849,5849,5849
03/04/2017,5817,5817,5817,5817
04/04/2017,5724.5,5724.5,5724.5,5724.5
05/04/2017,5808.5,5808.5,5808.5,5808.5
06/04/2017,5870.5,5870.5,5870.5,5870.5
07/04/2017,5770,5770,5770,5770
10/04/2017,5731,5731,5731,5731
11/04/2017,5746,5746,5746,5746
12/04/2017,5685,5685,5685,5685
13/04/2017,5655,5655,5655,5655
18/04/2017,5620.5,5620.5,5620.5,5620.5
19/04/2017,5600.5,5600.5,5600.5,5600.5
20/04/2017,5611.5,5611.5,5611.5,5611.5
21/04/2017,5601,5601,5601,5601
