Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
04/05/2016,68.367,69.561,67.484,68.377,1594410
05/05/2016,68.377,68.377,65.698,65.727,1455452
06/05/2016,65.824,67.28,64.814,66.504,1205509
09/05/2016,65.561,66.076,64.581,64.998,810468
10/05/2016,65.338,65.338,62.697,63.105,1375822
11/05/2016,63.756,64.28,63.242,63.309,728033
12/05/2016,64.066,64.076,62.017,62.017,842843
13/05/2016,61.357,62.017,60.882,61.173,1033589
16/05/2016,62.62,64.708,62.25,64.27,1546856
17/05/2016,65.484,66.494,63.125,63.26,2241937
18/05/2016,62.969,62.969,60.484,61.649,1280566
19/05/2016,61.163,61.163,59.678,60.193,961000
20/05/2016,60.97,61.989,60.348,60.348,782935
23/05/2016,60.397,61.3,59.697,60.853,408038
24/05/2016,60.581,61.823,60.387,61.416,935523
25/05/2016,62.125,63.542,61.697,62.717,1361839
27/05/2016,63.688,63.785,60.814,60.814,846117
30/05/2016,61.163,61.26,58.843,59.853,661770
31/05/2016,60.436,60.543,58.552,58.552,1456266
01/06/2016,58.115,58.144,55.979,55.979,1119308
02/06/2016,56.309,56.668,55.358,55.62,1139960
03/06/2016,56.522,59.028,56.406,58.144,1512797
06/06/2016,59.338,60.387,58.658,59.416,738321
07/06/2016,58.931,60.096,58.095,58.931,850213
08/06/2016,59.028,60.406,58.095,60.406,976781
09/06/2016,61.163,61.6,58.62,58.901,1186100
10/06/2016,58.901,59.125,57.484,58.105,607845
13/06/2016,58.202,58.319,57.038,58.057,696403
14/06/2016,57.765,58.212,56.698,57.862,729789
15/06/2016,58.348,59.27,58.047,58.785,1312974
16/06/2016,58.154,58.407,57.076,57.474,1288738
17/06/2016,57.96,58.931,57.775,58.931,1562464
20/06/2016,59.435,60.513,59.435,60.484,822728
21/06/2016,60.426,60.824,59.561,60.193,677498
22/06/2016,61.018,61.736,60.873,61.018,1169483
23/06/2016,61.008,63.27,60.581,62.726,1257329
24/06/2016,55.339,60.096,54.145,59.989,1864152
27/06/2016,60.241,61.076,59.164,59.221,611292
28/06/2016,60.678,62.319,60.193,62.076,1496570
29/06/2016,62.426,64.076,62.047,64.076,879888
30/06/2016,64.076,64.27,62.387,64.076,899432
01/07/2016,64.562,66.377,64.338,66.115,1040270
04/07/2016,65.338,68.387,65.241,66.552,1520146
05/07/2016,66.552,67.474,65.056,65.056,996139
06/07/2016,64.901,65.804,63.785,64.513,2046539
07/07/2016,64.465,66.785,64.416,65.892,1426702
08/07/2016,66.018,66.601,65.707,66.028,1047349
11/07/2016,67.328,69.416,67.28,69.416,1596928
12/07/2016,69.901,70.872,67.833,68.202,1595937
13/07/2016,69.823,71.047,69.173,70.979,1817521
14/07/2016,71.861,73.328,71.276,73.328,2151663
15/07/2016,72.951,75.796,72.624,75.221,2011051
18/07/2016,74.24,76.183,73.645,75.746,1383154
19/07/2016,76.064,76.064,74.835,75.033,890039
20/07/2016,75.31,75.31,73.556,74.656,1351525
21/07/2016,74.844,76.113,74.666,76.073,1045473
22/07/2016,75.439,76.797,75.132,76.321,1142526
25/07/2016,76.381,77.233,76.073,76.222,1223841
26/07/2016,76.222,76.5,75.241,76.113,853645
27/07/2016,75.826,78.968,75.727,78.264,920034
28/07/2016,78.413,79.939,78.413,79.057,1248560
29/07/2016,78.968,78.968,77.322,77.858,1450927
01/08/2016,78.343,79.235,77.501,78.135,393673
02/08/2016,78.304,79.196,77.412,77.511,1280790
03/08/2016,77.312,78.086,76.45,77.114,1125252
04/08/2016,76.619,78.601,76.619,78.155,857365
05/08/2016,78.165,78.928,78.165,78.641,516723
08/08/2016,78.7,79.533,78.66,79.493,589551
09/08/2016,78.799,78.879,77.431,77.808,1597585
10/08/2016,77.808,79.473,77.62,79.245,717442
11/08/2016,79.196,79.384,78.175,79.037,435062
12/08/2016,79.037,79.097,78.205,78.502,388378
16/08/2016,78.115,79.444,78.026,78.839,769405
17/08/2016,78.314,79.097,77.808,77.828,1144144
18/08/2016,77.213,78.502,74.468,78.492,1155256
19/08/2016,78.205,78.72,76.638,77.233,818091
22/08/2016,76.044,76.301,75.082,75.429,1221790
23/08/2016,75.33,76.708,75.32,76.093,720315
24/08/2016,75.33,77.213,75.281,75.826,678585
25/08/2016,75.33,75.33,72.981,73.447,1292094
26/08/2016,73.546,75.013,73.199,74.2,572608
29/08/2016,73.546,74.19,72.376,72.456,507724
30/08/2016,72.376,72.674,71.167,72.029,802722
31/08/2016,72.029,73.427,71.524,72.604,763285
01/09/2016,73.546,73.843,71.118,71.118,495970
02/09/2016,71.464,72.852,70.969,72.456,421714
05/09/2016,72.357,74.517,72.357,74.141,460242
06/09/2016,74.537,75.727,73.159,75.221,595327
07/09/2016,76.212,78.373,76.212,77.412,854343
08/09/2016,77.322,78.006,74.983,75.072,746861
09/09/2016,74.735,75.072,71.613,71.613,1044225
12/09/2016,70.642,70.919,68.342,69.938,1520500
13/09/2016,71.861,71.97,68.987,69.383,1146183
14/09/2016,69.879,70.939,69.779,70.612,764939
15/09/2016,71.266,72.168,70.622,70.87,687528
16/09/2016,71.365,71.663,69.581,69.581,1051461
19/09/2016,70.275,71.038,69.68,70.107,456837
20/09/2016,69.898,70.929,69.888,70.394,773958
21/09/2016,70.553,70.999,70.473,70.681,900414
22/09/2016,71.613,74.131,71.613,73.645,1043752
23/09/2016,73.635,73.734,72.01,73.14,685496
26/09/2016,72.366,72.624,71.207,72.357,855277
27/09/2016,72.357,72.575,70.87,71.564,799795
28/09/2016,71.544,73.021,71.385,72.594,635644
29/09/2016,73.348,73.744,72.604,73.546,909095
30/09/2016,72.713,74.309,72.684,73.843,917928
03/10/2016,73.843,74.825,72.565,72.872,586143
04/10/2016,72.753,74.289,71.97,74.042,721470
